month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Not Classified
2011-09,2011-09-30,grid_u4lflnxf.xlsx,13359.1834293639,2948.7514387733,762.2980051366,3004.3038723871,28543.0045469092,9527.1469130743,403.3323367869,472.1628707411,,21510.8729959273,460.5195633661,1855.7691537075,872.9549825487
2011-10,2011-10-31,grid_u4lflnxf.xlsx,12887.0678723443,2977.0701891964,752.131827794,2899.0165610773,26850.8698277753,9437.524090057,383.61716,466.6707162304,,20890.4847280369,475.9303413333,1821.7665095419,876.1319132994
2011-11,2011-11-30,grid_u4lflnxf.xlsx,13114.066429376,3089.3268573958,766.4121137702,2909.4205591021,27913.4061246393,9473.3467575968,292.5145780328,498.0255014364,,20853.4362033576,485.3912752787,1773.694406585,935.7966939423
2011-12,2011-12-30,grid_u4lflnxf.xlsx,12652.2355261844,3118.0787084255,825.7391919043,3072.8995088738,27142.8586176216,9585.3141527091,293.7991712295,537.6127846518,,19816.882645873,485.7447106448,1776.3334837085,947.7228499073
2012-01,2012-01-31,grid_u4lflnxf.xlsx,11926.744740175,2908.9099426677,732.4313504667,3225.8924329365,26838.6281662673,9646.2865666956,310.0059637459,516.6192959876,,19404.5594182098,486.6882275068,1805.4297649589,935.7372489183
2012-02,2012-02-29,grid_u4lflnxf.xlsx,10690.2097017882,2889.3263111715,702.847124523,3167.9589913369,24956.1722412991,9593.8834497402,319.1129456323,521.6193512906,,16928.6943933842,495.145517589,1838.027807418,965.9885148848
2012-03,2012-03-30,grid_u4lflnxf.xlsx,10556.6456148429,2931.2008005143,702.3997653921,3372.5555504163,25459.2782226215,9669.8944139814,321.6138760697,568.5961008173,,16516.6653132999,508.2415005808,1820.2239652472,989.9978206137
2012-04,2012-04-30,grid_u4lflnxf.xlsx,10530.9039228188,2191.1385106592,677.6007227319,3424.301090892,25130.9387485097,9292.8961006017,331.5316759832,605.5455763733,,16770.3474280973,499.7701834521,1928.7015057533,980.56302797
2012-05,2012-05-31,grid_u4lflnxf.xlsx,11208.6571100341,2245.8628879568,648.2209387212,3542.586994377,26335.9323365328,9753.8213579171,304.4573313572,627.3679257466,,18261.9091363536,508.7625258082,1947.3732744071,1088.3169906209
2012-06,2012-06-29,grid_u4lflnxf.xlsx,11266.0398633244,2193.8774464956,606.0499594459,3484.3771867662,28665.6245906013,9520.5167377974,304.4701727359,634.5962224384,,19056.9440499983,522.4744933699,1949.2126297439,1210.8091897124
2012-07,2012-07-31,grid_u4lflnxf.xlsx,10632.0735664755,2073.6007834344,575.4531073831,3460.7078492711,28941.7036795952,9447.5691956875,314.1027579228,621.2165973102,,16550.5467700511,495.2098428493,2019.2053152152,1202.328842561
2012-08,2012-08-31,grid_u4lflnxf.xlsx,10076.8460311019,2040.0224317226,512.826237977,3321.323870976,28081.1021458037,9605.4210955242,309.6026801545,617.0288215231,,14858.3270310621,536.0638379836,2057.5545853049,1212.2335743693
2012-09,2012-09-28,grid_u4lflnxf.xlsx,9786.2754322708,2019.7029000117,494.7069129044,3565.4871638252,24122.8196027727,9009.0730719903,321.2284057989,611.6576914426,,13508.9680288745,531.4847659836,1879.5766550803,523.5809504438
2012-10,2012-10-31,grid_u4lflnxf.xlsx,9497.0199476158,2076.6676887866,491.3008075197,3776.8462276617,24746.3216834776,8833.2973666794,330.0121246723,654.6084797295,,12741.1508552738,550.4699807562,1915.7295621137,534.0000747836
