month,Energy reported,IBOV,Brava Energia,Oleo e Gas Participacoes,PRIO,PetroReconcavo,Petrobras,Ex-Petrobras dynamic,Ex-Petrobras core (PRIO + Brava)
2022-10,115200.810833734,30334.7730485954,2388.49700532603,,4574.18887153973,,134441.043715507,6962.68587686576,6962.68587686576
2022-11,107975.048266181,31015.1158563236,2540.38737884932,,4790.99730972055,,127172.724483507,7331.38468856987,7331.38468856987
2022-12,93337.229023338,28805.7661125306,2371.30105915616,,4831.38185889315,,111782.293604997,7202.68291804931,7202.68291804931
2023-01,80428.649877372,27839.4585870566,2246.68944786885,,5286.78018098361,,95502.7675348634,7533.46962885246,7533.46962885246
2023-02,94928.0577261821,29979.2015456114,2360.54896472131,,5330.76295344262,,109756.969698623,7691.3119181639295,7691.3119181639295
2023-03,90862.3011779233,29097.0078303024,2176.08743973771,,5632.04482797814,,104620.700498536,7808.1322677158505,7808.1322677158505
2023-04,89379.472800842,27118.8137005969,1884.54257311475,,6592.68995497268,,104571.543171497,8477.23252808743,8477.23252808743
2023-05,89818.8943085491,26330.6170542406,1789.52655318033,,6817.75336778142,,104373.43677412,8607.27992096175,8607.27992096175
2023-06,88021.4492638256,25589.0167542496,1580.67188668852,,6699.03177302732,,101431.863083366,8279.70365971584,8279.70365971584
2023-07,85807.5464401881,25474.4542968395,1649.07153206557,,6490.38058177049,,100994.218554754,8139.45211383606,8139.45211383606
2023-08,89188.3903361264,26642.1568551732,1447.866688,,6945.33666133333,,104766.999210667,8393.20334933333,8393.20334933333
2023-09,88112.2523560734,27437.4493531088,1526.93139409836,,7616.53837219672,1546.284864,104374.823415607,10689.75463029508,9143.46976629508
2023-10,94220.0116327529,29781.0872283543,1863.870336,,8429.58848,1658.051648,111768.498176,11951.510464,10293.458816
2023-11,95337.0918038371,28689.2337264073,1935.90676161749,,8443.70036528962,1698.36211794536,111996.671966426,12077.969244852471,10379.60712690711
2023-12,100187.538338538,29546.262293585,1816.09713119126,,7682.22928437158,1473.36274780328,117169.818058842,10971.68916336612,9498.32641556284
2024-01,95929.1657568959,29813.1328602194,1670.51181939726,,7507.26903583562,1426.03138454795,111066.214119452,10603.812239780831,9177.78085523288
2024-02,95003.5372743322,29187.809850116,1528.11175907945,,7429.97645396164,1364.35272170959,110178.972960964,10322.44093475068,8958.08821304109
2024-03,91684.1681568982,27849.5495720741,1754.27628536986,,6999.60417770959,1341.47930546849,109209.028063737,10095.35976854794,8753.88046307945
2024-04,100424.801224771,30546.3561837988,2033.58868865753,,7539.21388010959,1233.10124887671,117013.356880658,10805.90381764383,9572.80256876712
2024-05,96521.7555952557,29622.1865202115,1960.49130257534,,7400.50596120548,1316.03452072329,112242.988769841,10677.03178450411,9360.99726378082
2024-06,91041.7098165104,29058.4153921932,1956.9395270137,,7269.48356348493,1277.93129906849,106349.603147047,10504.35438956712,9226.423090498629
2024-07,101998.068524759,30154.9579791481,2162.57608065753,,6812.78445904658,1246.91837475068,120957.61062926,10222.27891445479,8975.36053970411
2024-08,94043.860382815,28540.2016501304,2531.27965755616,,6694.9791673863,1127.87945205479,110163.620861195,10354.138276997252,9226.25882494246
2024-09,85356.3788830976,27009.5597759625,3226.89890121644,,6547.32646961096,1137.97736539178,100261.33363726,10912.20273621918,9774.2253708274
2024-10,89788.7905143947,27629.9364588461,2984.25161792877,,6485.1228531726,1055.88435690959,104809.442396581,10525.25882801096,9469.37447110137
2024-11,94491.8943942642,29600.8240345202,3064.40596900822,,6366.21684848219,1085.16334325479,109291.340741085,10515.7861607452,9430.62281749041
2024-12,96035.6918860495,29864.4831072854,2403.109888,,5305.639936,998.428992,112997.998592,8707.178816,7708.7498239999995
2025-01,97370.6448217801,29278.3468063418,2318.00409494795,,4891.4213817863,1038.83838001096,114077.482671342,8248.26385674521,7209.42547673425
2025-02,99413.2251526841,29436.8131068519,2455.0280332274,,4966.23884905206,1016.26655316164,115777.270893414,8437.5334354411,7421.26688227946
2025-03,97594.9241391287,29278.2496750191,2466.40395221918,,5047.15118465753,1017.65637961644,114436.165014795,8531.21151649315,7513.55513687671
2025-04,83356.3737068637,24365.0599452765,2036.07574794521,,4503.34595857534,761.569511452055,98053.5517071781,7300.991217972605,6539.42170652055
2025-05,79562.9342821914,24243.1191738377,2003.64970432877,,4789.5121709589,763.047087342466,93733.7573768767,7556.208962630137,6793.16187528767
2025-06,78934.8227791654,24371.6745925219,2026.30281398356,,5165.29689109041,779.811342728767,93223.5627814575,7971.411047802737,7191.59970507397
2025-07,75155.5919994231,24628.1186664759,2092.18633854247,,5187.7694905863,746.945303671233,88335.6600067507,8026.901132800003,7279.95582912877
2025-08,68013.3363593627,22988.5333720822,2041.9071021589,,4946.72524554521,688.346725347945,79629.4530595068,7676.979073052054,6988.63234770411
2025-09,68570.3855872596,22686.6585767034,1968.94765869589,,5281.06460230137,644.623933019178,80098.1294991781,7894.636194016438,7250.01226099726
2025-10,70552.6881284765,23123.5735169821,1620.55976819726,,5060.33346349589,613.924544175343,82245.791194126,7294.817775868492,6680.89323169315
2025-11,64896.1894050892,22764.3740478956,1319.67258581918,,5236.0928326137,557.476712328767,74888.7818015562,7113.242130761648,6555.76541843288
2025-12,60921.4262587754,22859.1884169585,1234.749952,,4099.000064,410.544992,71944.6016,5744.295008,5333.750016
2026-01,59573.0775264635,23899.0290112135,1315.31102684931,,4357.25712482192,354.486971616438,69518.9190908493,6027.055123287668,5672.56815167123
2026-02,67165.2136108715,25065.0820117514,1199.24954336438,,4530.09320819726,376.406389041096,78513.4330865973,6105.749140602736,5729.3427515616395
2026-03,97087.7702336677,31513.3955390524,1697.98694224658,,7481.34059134247,422.313688986301,112627.275467397,9601.641222575352,9179.32753358905
2026-04,107975.190914209,33148.1585961502,1775.81847145205,,8639.0911929863,616.684920986301,124791.851092164,11031.594585424651,10414.90966443835
2026-05,106431.88100599,31211.9427786988,1721.20586660822,,8158.51471605479,623.862465753425,126941.601410455,10503.583048416436,9879.72058266301
2026-06,104108.924582038,29625.2963262043,1544.89565983562,,8552.46147331507,612.102747528767,123220.997723178,10709.459880679457,10097.35713315069
2026-07,105934.636028838,30945.8759482539,1321.8320268274001,,8129.10462246575,512.069933413699,125102.000189721,9963.00658270685,9450.936649293151
2026-08,109063.633669519,31474.8151694147,1414.95880977534,,7165.47762007671,468.23050669589,127708.484178762,9048.666936547941,8580.43642985205
2026-09,110049.060790029,31592.4235889194,1429.52633372055,,7152.35121376438,467.541994432877,127881.287865162,9049.419541917807,8581.87754748493
