block,signal_date,entry_date,exit_date,long_return,short_underlying_return,pure_spread_return,overlay_excess_return,cdi_return,strategy_block_return
76,2021-01-18,2021-01-19,2021-02-22,-0.06368508226673733,-0.013428847072833441,-0.05246656996427476,-0.026281200925598696,0.0016444692975896569,-0.02463673162800904
77,2021-02-22,2021-02-23,2021-03-24,0.0613558044722456,-0.030748459099443428,0.09157740671210905,0.045500705745608855,0.0017153880420925915,0.047216093787701446
78,2021-03-24,2021-03-25,2021-04-27,0.059651909593289795,0.14987286319482954,-0.07956539882011103,-0.040165408378504214,0.002181853684181556,-0.03798355469432266
79,2021-04-27,2021-04-28,2021-05-27,0.0192565965409879,0.02472287647985098,-0.0058189501660347994,-0.0025859527209987202,0.002645314917681274,5.9362196682553794e-05
80,2021-05-27,2021-05-28,2021-06-29,-0.010587904988595288,0.06582868860270351,-0.07304642971911739,-0.03686187622588401,0.0030490260538929004,-0.03381285017199111
81,2021-06-29,2021-06-30,2021-07-30,-0.025571851622452357,0.009314821682467637,-0.03574408006738005,-0.017905140816006592,0.0035561617801871392,-0.014348979035819453
82,2021-07-30,2021-08-02,2021-08-31,-0.054560792281272495,-0.07160201514451907,0.017253380320956985,0.008858388492409813,0.00411749033401021,0.012975878826420022
83,2021-08-31,2021-09-01,2021-10-01,-0.044785388084269975,-0.0642846760711076,0.020293097441207532,0.010257324771377764,0.004457721862203057,0.01471504663358082
84,2021-10-01,2021-10-04,2021-11-04,-0.11728092257663955,-0.01670080496040346,-0.10142436240006232,-0.0515780686849331,0.005265873505130081,-0.04631219517980302
85,2021-11-04,2021-11-05,2021-12-07,0.11620618818231349,-0.022566494030805122,0.14216050903634744,0.06948555108403466,0.006161767532149254,0.07564731861618391
86,2021-12-07,2021-12-08,2022-01-10,-0.08507792321116152,-0.11354331288660044,0.03258392380925722,0.016487853615448626,0.008022894011902482,0.024510747627351108
87,2022-01-10,2022-01-11,2022-02-09,0.12040257709265652,0.05593208393349318,0.06138739968591374,0.03088776693924204,0.007595572085263846,0.03848333902450589
88,2022-02-09,2022-02-10,2022-03-15,-0.0723265681173734,-0.019865569490807148,-0.05230406039321311,-0.026101349598420597,0.008469249185744987,-0.01763210041267561
89,2022-03-15,2022-03-16,2022-04-14,0.051231052226169825,0.05596878097828838,-0.004096807081875177,-0.0013873511242292712,0.00922547661244244,0.00783812548821317
90,2022-04-14,2022-04-18,2022-05-18,-0.015210755515733471,-0.03931614486031841,0.024409469046408127,0.012777652023280526,0.009582643103040578,0.0223602951263211
91,2022-05-18,2022-05-19,2022-06-20,-0.11186939775373778,-0.037906287080042185,-0.07648725819416494,-0.03867840673978195,0.010011166513772984,-0.028667240226008965
92,2022-06-20,2022-06-21,2022-07-20,0.008483783219586991,-0.017891895265320708,0.026702903836530265,0.013527443875690015,0.010348424349291951,0.023875868224981965
93,2022-07-20,2022-07-21,2022-08-19,0.1787655266665989,0.09016659884492739,0.08140040292731353,0.040468278674747483,0.010560635134597929,0.05102891380934541
94,2022-08-19,2022-08-22,2022-09-21,0.023901534602295094,0.018108490278970303,0.006199349219795362,0.003578798745018986,0.010719822473548524,0.014298621218567509
95,2022-09-21,2022-09-22,2022-10-24,-0.028264908244954205,-0.007118786339939777,-0.023147869387607028,-0.0113132879123603,0.010719822473548524,-0.0005934654388117765
96,2022-10-24,2022-10-25,2022-11-25,-0.08841971348264122,-0.07349959205192748,-0.01882591242796629,-0.00871347774756931,0.010719822473548524,0.0020063447259792144
97,2022-11-25,2022-11-28,2022-12-27,-0.06849534640185952,-0.010854316921364978,-0.0563222365155276,-0.027973952017660154,0.010719822473548524,-0.01725412954411163
98,2022-12-27,2022-12-28,2023-01-27,0.002765543510886675,0.042565237618461156,-0.03777175955483877,-0.018709967666907506,0.011233146856986398,-0.007476820809921108
99,2023-01-27,2023-01-30,2023-03-02,-0.12378803157175364,-0.0703471129813032,-0.05782444786033751,-0.028830806177534116,0.010719822473548524,-0.018110983703985593
100,2023-03-02,2023-03-03,2023-04-03,0.003566798325334331,-0.026975350859108356,0.033021862507580664,0.017430371704766582,0.010719822473548524,0.028150194178315106
101,2023-04-03,2023-04-04,2023-05-08,0.11642415689143888,0.03997647641283133,0.07525727426177807,0.03757820237014157,0.010719822473548524,0.04829802484369009
102,2023-05-08,2023-05-09,2023-06-07,0.20430984881518557,0.11127072714321869,0.0848119259470783,0.041881356507476396,0.010719822473548524,0.05260117898102492
103,2023-06-07,2023-06-09,2023-07-10,0.00939165391114919,0.04055920079475146,-0.030513982313109013,-0.015245654545983657,0.010719822473548524,-0.004525832072435133
104,2023-07-10,2023-07-11,2023-08-09,0.048145089938553265,0.012573010409779404,0.03344933964877122,0.01689813827238863,0.010631381967495912,0.02752952023988454
105,2023-08-09,2023-08-10,2023-09-11,-0.04942334332462973,-0.07351520437298784,0.022872480294784107,0.01169174026893545,0.010348424349291951,0.0220401646182274
106,2023-09-11,2023-09-12,2023-10-11,-0.08657273891353605,-0.010340523542369574,-0.07716490064009471,-0.039106394443836706,0.01008215880659602,-0.029024235637240686
107,2023-10-11,2023-10-13,2023-11-14,0.07932925500530946,0.021535140043155643,0.0587215745388863,0.029590721686141564,0.009833059116718168,0.03942378080285973
108,2023-11-14,2023-11-16,2023-12-15,0.04531034138728006,0.02796917574134027,0.017519835598090467,0.009007692990488494,0.009565551699322938,0.018573244689811433
109,2023-12-15,2023-12-18,2024-01-19,-0.044887827896264915,-0.034450164118157545,-0.01034008605348715,-0.0049749682609319685,0.00966690174365814,0.004691933482726172
110,2024-01-19,2024-01-22,2024-02-22,0.029738914213966742,0.06272450334785273,-0.031353766995599955,-0.015633393933229624,0.008973834255418867,-0.006659559677810758
111,2024-02-22,2024-02-23,2024-03-25,-0.006482099012536088,-0.013522576670849273,0.007182026890458537,0.003879986344767847,0.008793915409014419,0.012673901753782265
112,2024-03-25,2024-03-26,2024-04-25,-0.12913928696019936,-0.060917165420947855,-0.0731337091182147,-0.037042689635140284,0.008469249185744987,-0.028573440449395297
113,2024-04-25,2024-04-26,2024-05-28,0.009677840968184998,-0.029554471418228954,0.0392419335078486,0.01977471246419779,0.008342522732408097,0.02811723519660589
114,2024-05-28,2024-05-29,2024-06-28,-0.06083084996892211,-0.0024387331426775553,-0.05767044522058385,-0.028909191917943673,0.00827916547763552,-0.020630026440308154
115,2024-06-28,2024-07-01,2024-07-30,0.04087481955700734,-0.005251404456355513,0.04693223819187364,0.02371270885488411,0.00827916547763552,0.031991874332519626
116,2024-07-30,2024-07-31,2024-08-29,0.09668285489348288,0.02921767837374989,0.06547134907954877,0.0330183662132184,0.00827916547763552,0.04129753169085392
117,2024-08-29,2024-08-30,2024-09-30,-0.08435483984672251,-0.033614347202694884,-0.051912009706794895,-0.026079581037813618,0.00835157409379228,-0.017728006944021338
118,2024-09-30,2024-10-01,2024-10-30,-0.009747843838650353,-0.00986698301389814,-0.00026096466537690535,0.00014262418511208839,0.008469249185744987,0.008611873370857075
119,2024-10-30,2024-10-31,2024-12-03,-0.12686586083317133,-0.06469031193890018,-0.06474842733926382,-0.03266427039813547,0.008775875654807752,-0.02388839474332772
120,2024-12-03,2024-12-04,2025-01-08,-0.08139676740123838,-0.06153340815375591,-0.019254663043324616,-0.008764137052710895,0.01034098855056409,0.001576851497853195
121,2025-01-08,2025-01-09,2025-02-07,0.05473233594204439,-0.005839302365589737,0.0629742857479443,0.03135139245699718,0.009850317213917048,0.04120170967091423
122,2025-02-07,2025-02-10,2025-03-13,-0.014086460481557728,-0.04023700030486771,0.0284148644767108,0.014740729882802964,0.010348424349287733,0.025089154232090696
123,2025-03-13,2025-03-14,2025-04-14,0.04932938352538815,-0.0358263616940915,0.08972451790131909,0.04437223133921547,0.010983729804097564,0.05535596114331304
124,2025-04-14,2025-04-15,2025-05-19,0.046030283338808924,0.10685975388470552,-0.05531186538490827,-0.02759819005810746,0.011229926952391889,-0.016368263105715573
125,2025-05-19,2025-05-20,2025-06-18,0.013785536884695722,-0.008234646020762314,0.02220744119683529,0.011165740213717325,0.011457913831102617,0.022623654044819943
126,2025-06-18,2025-06-20,2025-07-21,-0.01991499265689303,-0.01311636479476853,-0.007868869436669734,-0.0038426120660621545,0.011641561387973232,0.007798949321911077
127,2025-07-21,2025-07-22,2025-08-20,0.02280726448694918,-0.004565953727798021,0.0277515636372539,0.013940300143976986,0.011641561387973232,0.025581861531950217
128,2025-08-20,2025-08-21,2025-09-19,0.0680301883772689,0.08667467206146912,-0.01705688688369272,-0.00845384873630587,0.011641561387973232,0.0031877126516673612
129,2025-09-19,2025-09-22,2025-10-21,-0.06926542934484405,-0.017111528077182254,-0.053090918626920745,-0.026803128886617802,0.011641561387973232,-0.015161567498644571
130,2025-10-21,2025-10-22,2025-11-21,0.010685830484064393,0.031038560326467648,-0.01966644829618307,-0.009692377793641923,0.011641561387973232,0.0019491835943313083
131,2025-11-21,2025-11-24,2025-12-23,-0.00693889229945146,0.06740659150836954,-0.06925261537634538,-0.03509501858391669,0.011641561387973232,-0.02345345719594346
132,2025-12-23,2025-12-26,2026-01-28,0.11410343786326713,0.1494166772470552,-0.03046460590231652,-0.015029650177971473,0.012199289497182075,-0.0028303606807893976
133,2026-01-28,2026-01-29,2026-03-03,0.0008467145395408324,-0.035466397344025145,0.036521728434614036,0.018310840224695864,0.011641561387973232,0.029952401612669096
134,2026-03-03,2026-03-04,2026-04-02,-0.034515745523841325,0.031007980543143035,-0.06256622298363093,-0.0315600740064602,0.011545360890448775,-0.020014713116011426
135,2026-04-02,2026-04-06,2026-05-07,0.02468907199845957,-0.01944018777247285,0.0445056152687707,0.02274920276887867,0.011414142214670076,0.03416334498354874
136,2026-05-07,2026-05-08,2026-06-09,-0.10264807809552175,-0.09052299941765819,-0.01250441240605763,-0.0058451468293284434,0.011274085771043607,0.005428938941715164
137,2026-06-09,2026-06-10,2026-07-09,0.005466478235167312,0.027019385699286313,-0.020331532639430498,-0.009911266098419693,0.011133562420461596,0.001222296322041903
138,2026-07-09,2026-07-10,2026-08-10,-0.08975963993550148,-0.02640638681775288,-0.06479110878664329,-0.03269994154874217,0.011063247206552385,-0.02163669434218979
