signal_index,signal_date,entry_date,exit_date,n_long,n_short,long_return,short_underlying_return,pure_spread_return,overlay_excess_return,long_quality_mean,short_quality_mean,raw_dispersion_z,sma21_z,sma21_high_cross,bucket
1604,2020-11-06,2020-11-09,2020-12-08,10,10,0.03258086302713503,0.061509093285069365,-0.028010093073429186,-0.013775958949782412,69.06960497451482,46.29260437390481,0.2092211010011251,0.4569720597708283,False,-0.5 to +0.5
1605,2020-11-09,2020-11-10,2020-12-09,10,10,0.021600240423056312,0.05562551665105379,-0.032684461966327356,-0.016157148132932245,67.77882213820921,49.419610204437376,0.2902427000854273,0.482899023796544,False,-0.5 to +0.5
1606,2020-11-10,2020-11-11,2020-12-10,10,10,0.12331048479675098,0.07602693477128522,0.044100566285251414,0.02213623268257513,71.57095134864821,46.292604373904815,0.6045454969276536,0.4727339213544476,False,-0.5 to +0.5
1607,2020-11-11,2020-11-12,2020-12-11,10,10,0.13770655182774913,0.0941000953181306,0.039643189303206414,0.019901813739743396,70.11731653350006,46.292604373904815,0.3138777655126215,0.4581808892593732,False,-0.5 to +0.5
1608,2020-11-12,2020-11-13,2020-12-14,10,10,0.10510303157992953,0.05009795970904682,0.05195495455923886,0.02597389065231538,69.13585446716381,47.993759733561895,0.5170197943848255,0.4462546278829188,False,-0.5 to +0.5
1609,2020-11-13,2020-11-16,2020-12-15,10,10,0.10736151490989229,0.050794890304332534,0.05325888072215524,0.026627721392390717,71.01301480297991,48.56134298437253,0.6592477804631459,0.4628028710578363,False,-0.5 to +0.5
1610,2020-11-16,2020-11-17,2020-12-16,10,10,0.05971571138423212,0.07984095374205852,-0.019638140643361467,-0.00952412872888197,70.19059491755988,47.993759733561895,0.4086413040415813,0.4674961861002784,False,-0.5 to +0.5
1611,2020-11-17,2020-11-18,2020-12-17,10,10,0.12072809253268707,0.10372761233350415,0.015249197223313343,0.0078691521809031,72.07043652538795,46.292604373904815,0.0660775323108419,0.4820509578039119,False,-0.5 to +0.5
1612,2020-11-18,2020-11-19,2020-12-18,10,10,0.06913722523431326,0.08926564846212849,-0.019142831746863823,-0.009316665655670704,70.19059491755988,46.292604373904815,0.502962043115284,0.5238122664316505,False,+0.5 to +1.5
1613,2020-11-19,2020-11-20,2020-12-21,10,10,0.05352826140144321,0.06392669333117837,-0.010193854590160518,-0.004786103326979645,70.19059491755988,48.51001198819219,0.4804200456890036,0.5481317161865878,False,+0.5 to +1.5
1614,2020-11-20,2020-11-23,2020-12-22,10,10,0.049902723155267364,0.045116258024927774,0.004401832145614547,0.0024895586026132603,70.19059491755988,48.51001198819218,0.952425727556464,0.5737150454136184,False,+0.5 to +1.5
1615,2020-11-23,2020-11-24,2020-12-23,10,10,0.04055917439548076,0.06973185089604239,-0.0281420996151306,-0.013811730281322439,70.19059491755988,49.07412997787045,0.3917198064244551,0.5897093481381722,False,+0.5 to +1.5
1616,2020-11-24,2020-11-25,2020-12-28,10,10,0.05302385084059379,0.07960541446258386,-0.025373063848613542,-0.012475529645797677,67.07579669386918,48.989906564332145,0.1421975001598646,0.583322396828824,False,+0.5 to +1.5
1617,2020-11-25,2020-11-26,2020-12-29,10,10,0.04975936520397996,0.07880490428622493,-0.02768998166210544,-0.013647569583752668,67.07579669386918,48.989906564332145,-0.3052280722314602,0.5401544214162722,False,+0.5 to +1.5
1618,2020-11-26,2020-11-27,2021-01-04,10,10,0.0005773940417568268,0.09006029323665725,-0.08366350045230342,-0.042089629768048205,70.19059491755988,48.989906564332145,-0.4769708831894066,0.4802615017739033,False,-0.5 to +0.5
1619,2020-11-27,2020-11-30,2021-01-05,10,10,0.038944260120276034,0.1105794394537193,-0.06591195587466399,-0.033087601598482,66.10435349751651,47.58116330372259,-0.679469866252352,0.377344681636202,False,-0.5 to +0.5
1620,2020-11-30,2020-12-01,2021-01-06,10,10,-0.022857135913039717,0.0799285581214382,-0.09668030348161959,-0.04908331939668211,65.66306489667778,47.58116330372259,-0.110496161314537,0.3146436796307004,False,-0.5 to +0.5
1621,2020-12-01,2020-12-02,2021-01-07,10,10,-0.03224885159572407,0.1238619970076316,-0.14101269684702647,-0.07262559472030926,66.01181385532,44.09641000833531,-0.2035110578409221,0.2536419652394719,False,-0.5 to +0.5
1622,2020-12-02,2020-12-03,2021-01-08,10,10,-0.006728389537411458,0.1481961996753493,-0.13697377074327763,-0.07043469032221612,61.722034651810006,44.096410008335305,-0.7937164577454338,0.1627073763957882,False,-0.5 to +0.5
1623,2020-12-03,2020-12-04,2021-01-11,10,10,-0.02775604608822358,0.09923949222633215,-0.11655772705157805,-0.059523343572251114,64.02703341824376,45.591295089228524,-0.8259861274565866,0.1230325791529552,False,-0.5 to +0.5
1624,2020-12-04,2020-12-07,2021-01-12,10,10,-0.016539969359597676,0.10423125540079965,-0.11020127261499478,-0.05618050478933399,65.76025828751469,45.62979026985638,-0.7982935228613046,0.0833776236609477,False,-0.5 to +0.5
1625,2020-12-07,2020-12-08,2021-01-13,10,10,-0.01768109379621997,0.09103636177585846,-0.10051043519356684,-0.05105161570653553,65.76025828751469,45.62979026985638,-1.0879315992341976,0.0096089706133532,False,-0.5 to +0.5
1626,2020-12-08,2020-12-09,2021-01-14,10,10,-0.0037458072757956392,0.10288781151113081,-0.0976754835720446,-0.04952099714743676,64.94799342248321,45.919404391638764,-0.591140408097446,-0.0405823240701008,False,-0.5 to +0.5
1627,2020-12-09,2020-12-10,2021-01-15,10,10,-0.00605268971122084,0.044255314898532586,-0.049591380020241674,-0.024516234411991245,60.90976978677852,45.94767628717551,-0.5333374193604691,-0.105457049766705,False,-0.5 to +0.5
1628,2020-12-10,2020-12-11,2021-01-18,10,10,-0.013378797348553101,0.0795617927430188,-0.08748743760686752,-0.04416174266397283,60.90976978677852,45.65806216539313,-0.7369793673835869,-0.1653370861420147,False,-0.5 to +0.5
